Дата,Відсоток відмов
"01.03.22","48,41%"
"02.03.22","47,46%"
"03.03.22","44,94%"
"04.03.22","44,77%"
"05.03.22","50,20%"
"06.03.22","48,55%"
"07.03.22","48,51%"
"08.03.22","44,07%"
"09.03.22","46,31%"
"10.03.22","46,77%"
"11.03.22","51,02%"
"12.03.22","51,49%"
"13.03.22","49,49%"
"14.03.22","46,09%"
"15.03.22","44,46%"
"16.03.22","44,09%"
"17.03.22","42,45%"
"18.03.22","46,24%"
"19.03.22","48,74%"
"20.03.22","51,67%"
"21.03.22","45,74%"
"22.03.22","44,75%"
"23.03.22","46,34%"
"24.03.22","41,05%"
"25.03.22","42,32%"
"26.03.22","48,77%"
"27.03.22","51,11%"
"28.03.22","46,17%"
"29.03.22","43,39%"
"30.03.22","42,98%"
"31.03.22","42,42%"
"01.04.22","45,05%"
"02.04.22","51,16%"
"03.04.22","50,17%"
"04.04.22","45,11%"
"05.04.22","44,54%"
"06.04.22","38,07%"
"07.04.22","45,73%"
"08.04.22","45,84%"
"09.04.22","52,52%"
"10.04.22","51,27%"
"11.04.22","47,11%"
"12.04.22","44,65%"
"13.04.22","45,61%"
"14.04.22","45,34%"
"15.04.22","48,11%"
"16.04.22","52,05%"
"17.04.22","54,10%"
"18.04.22","46,58%"
"19.04.22","46,70%"
"20.04.22","47,64%"
"21.04.22","43,35%"
"22.04.22","46,89%"
"23.04.22","51,72%"
"24.04.22","52,86%"
"25.04.22","46,10%"
"26.04.22","45,41%"
"27.04.22","46,01%"
"28.04.22","44,55%"
"29.04.22","44,02%"
"30.04.22","50,45%"
"01.05.22","52,18%"
"02.05.22","44,79%"
"03.05.22","45,05%"
"04.05.22","46,14%"
"05.05.22","45,08%"
"06.05.22","64,45%"
"07.05.22","73,98%"
"08.05.22","54,65%"
"09.05.22","46,37%"
"10.05.22","46,48%"
"11.05.22","51,75%"
"12.05.22","54,12%"
"13.05.22","53,95%"
"14.05.22","68,19%"
"15.05.22","63,33%"
"16.05.22","49,02%"
"17.05.22","46,92%"
"18.05.22","46,48%"
"19.05.22","45,60%"
"20.05.22","46,24%"
"21.05.22","57,13%"
"22.05.22","53,67%"
"23.05.22","47,65%"
"24.05.22","45,07%"
"25.05.22","45,46%"
"26.05.22","46,52%"
"27.05.22","46,46%"
"28.05.22","53,29%"
"29.05.22","53,98%"
"30.05.22","53,72%"
"31.05.22","45,96%"
"01.06.22","46,12%"
"02.06.22","45,16%"
"03.06.22","45,43%"
"04.06.22","53,30%"
"05.06.22","52,86%"
"06.06.22","44,38%"
"07.06.22","48,69%"
"08.06.22","46,35%"
"09.06.22","44,13%"
"10.06.22","43,35%"
"11.06.22","52,53%"
"12.06.22","48,73%"
"13.06.22","45,39%"
"14.06.22","43,64%"
"15.06.22","43,28%"
"16.06.22","43,33%"
"17.06.22","45,13%"
"18.06.22","52,32%"
"19.06.22","52,04%"
"20.06.22","50,79%"
"21.06.22","46,04%"
"22.06.22","42,99%"
"23.06.22","43,08%"
"24.06.22","46,08%"
"25.06.22","51,90%"
"26.06.22","52,23%"
"27.06.22","43,87%"
"28.06.22","44,01%"
"29.06.22","44,46%"
"30.06.22","43,61%"
"01.07.22","45,89%"
"02.07.22","51,45%"
"03.07.22","53,25%"
"04.07.22","54,89%"
"05.07.22","51,82%"
"06.07.22","47,30%"
"07.07.22","42,72%"
"08.07.22","42,40%"
"09.07.22","49,94%"
"10.07.22","51,21%"
"11.07.22","43,98%"
"12.07.22","42,76%"
"13.07.22","44,76%"
"14.07.22","41,98%"
